,adm0_name,adm1_name,adm2_name,chtype,reference_label,reference_year,population,phase1,phase2,phase3,phase4,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase
115,Mauritania,Assaba,unknown,current,Jan-May,2014,323761.0,262246.0,61515.0,0.0,0.0,0.0,,,
346,Mauritania,Assaba,unknown,projected,Jun-Aug,2014,323761.0,226633.0,55039.0,32376.0,9713.0,42089.0,,,
623,Mauritania,Assaba,unknown,current,Sep-Dec,2014,333686.0,223570.0,83422.0,26695.0,0.0,26695.0,,,
1063,Mauritania,Assaba,unknown,current,Jan-May,2015,343733.0,230301.0,82496.0,30936.0,,30936.0,,,
1453,Mauritania,Assaba,unknown,projected,Jun-Aug,2015,343733.0,171866.0,96245.0,72184.0,3437.0,75621.0,,,
1720,Mauritania,Assaba,unknown,current,Sep-Dec,2015,341661.0,263079.0,61499.0,17083.0,0.0,17083.0,,,
2033,Mauritania,Assaba,unknown,current,Jan-May,2016,349827.0,300851.0,41979.0,6997.0,0.0,6997.0,,,
2492,Mauritania,Assaba,unknown,projected,Jun-Aug,2016,349827.0,255374.0,73464.0,20990.0,0.0,20990.0,,,
2941,Mauritania,Assaba,unknown,current,Sep-Dec,2016,349827.0,283360.0,52474.0,13993.0,0.0,13993.0,,,
3439,Mauritania,Assaba,unknown,current,Jan-May,2017,360249.0,291802.0,50435.0,18012.0,0.0,18012.0,,,
4207,Mauritania,Assaba,unknown,projected,Jun-Aug,2017,360249.0,219752.0,86460.0,43230.0,10807.0,54037.0,,,
4987,Mauritania,Assaba,unknown,current,Sep-Dec,2017,360249.0,244969.0,64845.0,50435.0,0.0,50435.0,,,
5605,Mauritania,Assaba,unknown,current,Jan-May,2018,368839.0,213927.0,92210.0,62703.0,0.0,62703.0,,,
6559,Mauritania,Assaba,unknown,projected,Jun-Aug,2018,368839.0,191796.0,99587.0,73768.0,3688.0,77456.0,,,
7490,Mauritania,Assaba,unknown,current,Sep-Dec,2018,377656.0,253030.0,94414.0,30212.0,0.0,30212.0,,,
8184,Mauritania,Assaba,unknown,current,Jan-May,2019,377656.0,207711.0,109520.0,56648.0,3777.0,60425.0,,,
9247,Mauritania,Assaba,unknown,projected,Jun-Aug,2019,377656.0,158616.0,128403.0,83084.0,7553.0,90637.0,,,
10253,Mauritania,Assaba,Kiffa,current,Sep-Dec,2019,131368.0,98526.0,19705.0,10509.0,2627.0,13137.0,,,
10254,Mauritania,Assaba,Boumdeid,current,Sep-Dec,2019,9394.0,7327.0,1503.0,564.0,0.0,564.0,,,
10255,Mauritania,Assaba,Kankossa,current,Sep-Dec,2019,97884.0,71456.0,14683.0,9788.0,1958.0,11746.0,,,
10256,Mauritania,Assaba,Guerrou,current,Sep-Dec,2019,53240.0,37801.0,7986.0,6389.0,1065.0,7454.0,,,
10257,Mauritania,Assaba,Barkeol,current,Sep-Dec,2019,94807.0,71105.0,14221.0,7585.0,1896.0,9481.0,,,
12743,Mauritania,Assaba,Kiffa,projected,Jun-Aug,2020,131368.0,74880.0,27587.0,23646.0,5255.0,28901.0,,,
12744,Mauritania,Assaba,Boumdeid,projected,Jun-Aug,2020,9394.0,6294.0,1691.0,1315.0,94.0,1409.0,,,
12745,Mauritania,Assaba,Kankossa,projected,Jun-Aug,2020,97884.0,58731.0,17619.0,13704.0,7831.0,21535.0,,,
12746,Mauritania,Assaba,Guerrou,projected,Jun-Aug,2020,53240.0,33009.0,7986.0,7986.0,4259.0,12245.0,,,
12747,Mauritania,Assaba,Barkeol,projected,Jun-Aug,2020,94807.0,53092.0,20857.0,17065.0,3792.0,20857.0,,,
14720,Mauritania,Assaba,Barkeol,current,Sep-Dec,2020,94807.0,77742.0,13273.0,3792.0,0.0,3792.0,,,
14721,Mauritania,Assaba,Boumdeid,current,Sep-Dec,2020,9394.0,7609.0,1409.0,376.0,0.0,376.0,,,
14722,Mauritania,Assaba,Guerrou,current,Sep-Dec,2020,53240.0,44189.0,6921.0,2130.0,0.0,2130.0,,,
14723,Mauritania,Assaba,Kankossa,current,Sep-Dec,2020,97884.0,83201.0,13704.0,979.0,0.0,979.0,,,
14724,Mauritania,Assaba,Kiffa,current,Sep-Dec,2020,131368.0,112976.0,15764.0,2627.0,0.0,2627.0,,,
15722,Mauritania,Assaba,Barkeol,current,Jan-May,2021,97071.0,66979.0,24268.0,5824.0,0.0,5824.0,1.0,2.0,2.0
15723,Mauritania,Assaba,Boumdeid,current,Jan-May,2021,9618.0,6925.0,2405.0,289.0,0.0,289.0,1.0,2.0,2.0
15724,Mauritania,Assaba,Guerrou,current,Jan-May,2021,54512.0,35433.0,13628.0,5451.0,0.0,5451.0,1.0,2.0,2.0
15725,Mauritania,Assaba,Kankossa,current,Jan-May,2021,100222.0,69153.0,23051.0,8018.0,0.0,8018.0,1.0,2.0,2.0
15726,Mauritania,Assaba,Kiffa,current,Jan-May,2021,134505.0,94153.0,32281.0,8070.0,0.0,8070.0,1.0,2.0,2.0
17230,Mauritania,Assaba,Barkeol,projected,Jun-Aug,2021,97071.0,55330.0,29121.0,10678.0,1941.0,12619.0,1.0,2.0,4.0
17231,Mauritania,Assaba,Boumdeid,projected,Jun-Aug,2021,9618.0,5771.0,2885.0,962.0,0.0,962.0,1.0,2.0,4.0
17232,Mauritania,Assaba,Guerrou,projected,Jun-Aug,2021,54512.0,32162.0,15263.0,6541.0,545.0,7087.0,1.0,2.0,4.0
17233,Mauritania,Assaba,Kankossa,projected,Jun-Aug,2021,100222.0,60133.0,30067.0,10022.0,0.0,10022.0,1.0,2.0,3.0
17234,Mauritania,Assaba,Kiffa,projected,Jun-Aug,2021,134505.0,88773.0,34971.0,10760.0,0.0,10760.0,1.0,2.0,4.0
18832,Mauritania,Assaba,Barkeol,current,Sep-Dec,2021,99390.0,65598.0,22860.0,10933.0,0.0,10933.0,2.0,1.0,3.0
18833,Mauritania,Assaba,Boumdeid,current,Sep-Dec,2021,9848.0,6204.0,2659.0,985.0,0.0,985.0,2.0,1.0,4.0
18834,Mauritania,Assaba,Guerrou,current,Sep-Dec,2021,55815.0,34047.0,16186.0,5581.0,0.0,5581.0,2.0,1.0,4.0
18835,Mauritania,Assaba,Kankossa,current,Sep-Dec,2021,102617.0,76963.0,20523.0,5131.0,0.0,5131.0,2.0,1.0,4.0
18836,Mauritania,Assaba,Kiffa,current,Sep-Dec,2021,137719.0,78500.0,44070.0,15149.0,0.0,15149.0,2.0,1.0,4.0
