location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,market_name,lat,lon,commodity_category,commodity_name,unit,price_flag,price_type,currency_code,price,reference_period_start,reference_period_end
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,22.0,2012-01-15,2012-02-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,18.0,2012-01-15,2012-02-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,28.3,2012-01-15,2012-02-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,14.0,2012-01-15,2012-02-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,55.0,2012-01-15,2012-02-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,22.0,2012-02-15,2012-03-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,18.0,2012-02-15,2012-03-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,30.0,2012-02-15,2012-03-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,14.0,2012-02-15,2012-03-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,55.0,2012-02-15,2012-03-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,22.0,2012-03-15,2012-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,19.0,2012-03-15,2012-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,30.0,2012-03-15,2012-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.3,2012-03-15,2012-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,55.0,2012-03-15,2012-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,22.0,2012-04-15,2012-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,19.0,2012-04-15,2012-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,30.0,2012-04-15,2012-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.5,2012-04-15,2012-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,30.0,2012-04-15,2012-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,55.0,2012-04-15,2012-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,22.0,2012-05-15,2012-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,19.0,2012-05-15,2012-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,30.0,2012-05-15,2012-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.5,2012-05-15,2012-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,30.0,2012-05-15,2012-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,55.0,2012-05-15,2012-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,27.0,2012-06-15,2012-07-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,22.0,2012-06-15,2012-07-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,30.0,2012-06-15,2012-07-14
