,date,price,unit,commodity_category,lat,lon,price_flag,admin2_name,aggregated_commodity_name,currency_code
0,2019-04-21,69.14395718956256,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
1,2019-04-28,69.64389131835297,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
2,2019-05-05,69.74989499901206,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
3,2019-05-12,70.27971440936844,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
4,2019-05-19,71.86001543814953,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
5,2019-05-26,71.82500055156575,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
6,2019-06-02,72.33850863219166,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
7,2019-06-09,72.47210941797965,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
8,2019-06-16,73.01418630755886,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
9,2019-06-23,74.70849834080737,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
10,2019-06-30,75.50969968365894,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
11,2019-07-07,76.92955940966598,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
12,2019-07-14,78.89300325128343,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
13,2019-07-21,80.58302317878145,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
14,2019-07-28,83.68923027046735,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
15,2019-08-04,86.86121825650139,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
16,2019-08-11,88.6902320869661,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
17,2019-08-18,91.12230887263472,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
18,2019-08-25,92.87212926687639,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
19,2019-09-01,94.37487058481372,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
20,2019-09-08,95.78845481533429,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
21,2019-09-15,97.86527397919359,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
22,2019-09-22,97.84560612312946,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
23,2019-09-29,98.13631487824061,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
24,2019-10-06,98.42425055557538,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
25,2019-10-13,98.76854279447899,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
26,2019-10-20,98.91258939111145,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
27,2019-10-27,98.90429612209597,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
28,2019-11-03,99.84687835038363,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
29,2019-11-10,99.04644299956149,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
30,2019-11-17,98.04467039297114,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
31,2019-11-24,98.75304591019464,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
32,2019-12-01,97.84751529336565,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
33,2019-12-08,97.72943599059332,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
34,2019-12-15,97.30120683429055,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
35,2019-12-22,95.6731054822196,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
36,2019-12-29,93.69901801966085,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
37,2020-01-05,92.0947347787664,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
38,2020-01-12,91.33160851554281,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
39,2020-01-19,86.71433105893291,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
40,2020-01-26,79.92267809258918,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
41,2020-02-02,75.10867276963243,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
42,2020-02-09,68.22018970542818,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
43,2020-02-16,63.172043782561104,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
44,2020-02-23,60.81647855701602,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
45,2020-03-01,59.06503258639965,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
46,2020-03-08,57.212846163123835,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
47,2020-03-15,54.74287630428454,KG,pulses and nuts,16.640389,-12.498493,"actual,aggregate",Barkeol,Beans (niebe),MRU
48,2018-12-16,98.84184062158783,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
49,2018-12-23,98.44948965155326,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
50,2018-12-30,96.99922860254594,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
51,2019-01-06,96.00498600308637,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
52,2019-01-13,95.40000736964173,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
53,2019-01-20,93.88834300301082,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
54,2019-01-27,92.0190921596224,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
55,2019-02-03,90.38145021290903,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
56,2019-02-10,88.82710248888688,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
57,2019-02-17,87.38494745360742,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
58,2019-02-24,85.79412923572761,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
59,2019-03-03,83.72906131252394,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
60,2019-03-10,82.1568392672905,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
61,2019-03-17,80.56129959205671,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
62,2019-03-24,80.00505850382453,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
63,2019-03-31,80.1545791302069,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
64,2019-04-07,79.22796600484592,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
65,2019-04-14,78.88077080080964,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
66,2019-04-21,78.83293047517171,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
67,2019-04-28,78.23068611901121,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
68,2019-05-05,78.20147269501693,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
69,2019-05-12,77.1570323804017,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
70,2019-05-19,76.9934185982809,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
71,2019-05-26,76.89212106158541,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
72,2019-06-02,76.5661693926542,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
73,2019-06-09,76.34663212659353,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
74,2019-06-16,75.30113953500297,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
75,2019-06-23,75.40976469065212,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
76,2019-06-30,74.64751831874236,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
77,2019-07-07,75.00966547665863,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
78,2019-07-14,74.37286541178099,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
79,2019-07-21,73.53475306260266,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
80,2019-07-28,73.15159301267222,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
81,2019-08-04,72.92653731580405,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
82,2019-08-11,72.04987869477297,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
83,2019-08-18,71.83444794953539,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
84,2019-08-25,71.23259377685336,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
85,2019-09-01,71.41819279770492,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
86,2019-09-08,70.49958029163327,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
87,2019-09-15,70.4829740991947,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
88,2019-09-22,70.14928208771587,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
89,2019-09-29,69.83214629130454,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
90,2019-10-06,69.5212456499619,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
91,2019-10-13,69.33262014244173,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
92,2019-10-20,68.83010258411406,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
93,2019-10-27,67.76348807802472,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
94,2019-11-03,67.52986649340717,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
95,2019-11-10,66.9431329608056,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
96,2019-11-17,66.7625309401076,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
97,2019-11-24,66.6781344839022,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
98,2019-12-01,66.2133851286094,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
99,2019-12-08,65.56787291714915,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
100,2019-12-15,64.93142538964746,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
101,2019-12-22,65.04667412418465,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
102,2019-12-29,64.84267273797708,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
103,2020-01-05,63.92512947445633,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
104,2020-01-12,64.36294526844253,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
105,2020-01-19,63.606002262719585,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
106,2020-01-26,63.446240247021365,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
107,2020-02-02,62.48274760642383,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
108,2020-02-09,62.704300642838405,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
109,2020-02-16,61.700235847803306,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
110,2020-02-23,61.555745762949925,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
111,2020-03-01,60.759099187824866,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
112,2020-03-08,60.64983357590221,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
113,2020-03-15,60.2923596857234,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
114,2020-03-22,60.154239051634924,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
115,2020-03-29,59.55459870992181,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
116,2020-04-05,59.34483941667499,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
117,2020-04-12,58.3769711636559,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
118,2020-04-19,57.77290586099327,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
119,2020-04-26,56.084081466165024,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
120,2020-05-03,54.744039458852185,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
121,2020-05-10,53.87928129286664,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
122,2020-05-17,53.276962208664976,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
123,2020-05-24,52.559444135169386,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
124,2020-05-31,52.939398206751285,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
125,2020-06-07,53.0120955828323,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
126,2020-06-14,52.878130965323024,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
127,2020-06-21,53.96550800678363,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
128,2020-06-28,55.72543051103615,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
129,2020-07-05,57.8251652215757,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
130,2020-07-12,58.36997234630855,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
131,2020-07-19,61.665843054571056,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
132,2020-07-26,65.63899068910776,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
133,2020-08-02,69.4585430836932,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
134,2020-08-09,73.2386118941515,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
135,2020-08-16,77.25700349024173,KG,pulses and nuts,16.640389,-12.498493,aggregate,Barkeol,Beans (niebe),MRU
